Mass Number (A),Atomic Number (Z),Element,Half-Life (s),Beta Branch Ratio,Beta Partial Half-Life (log(s)),Q_beta- WS4 (keV),Q_beta- WS4+RBF (keV),Pairing Term,Predicted Half-Life (log(s)),Uncertainty (std dev),Lower CI (95%),Upper CI (95%)
53.0,23.0,53V,92.58,1.0,1.966517176446792,2850.5,3110.199999999997,0,3.5164678,1.0853419,1.3891976,5.643738
54.0,19.0,54K,0.01,1.0,-2.0,20293.3,20160.1,-1,-1.9024451,0.47713268,-2.837625,-0.967265
54.0,20.0,54Ca,0.09,1.0,-1.0457574905606752,9610.800000000005,9599.500000000004,1,-1.120914,0.38496017,-1.875436,-0.36639202
54.0,21.0,54Sc,0.526,1.0,-0.2790142558462609,11954.5,12086.9,-1,-0.42178214,0.38251862,-1.1715186,0.32795435
54.0,22.0,54Ti,2.1,1.0,0.3222192947339193,3480.5,3839.199999999997,1,1.8382077,0.7081083,0.45031536,3.2261
54.0,23.0,54V,49.8,1.0,1.6972293427597176,6871.599999999999,7458.199999999997,-1,1.7941258,0.81404376,0.19859993,3.3896518
54.0,25.0,54Mn,26963798.4,0.0093,9.462298122839131,1431.5999999999983,1395.3999999999942,-1,6.037831,1.6277887,2.847365,9.228296
55.0,20.0,55Ca,0.022,1.0,-1.6575773191777938,13289.1,13163.1,0,-1.302211,0.3997981,-2.0858154,-0.5186068
55.0,21.0,55Sc,0.096,1.0,-1.0177287669604316,10878.000000000004,11025.7,0,-0.81952107,0.3682167,-1.5412258,-0.09781635
55.0,22.0,55Ti,1.3,1.0,0.1139433523068367,7681.5999999999985,8051.9000000000015,0,0.3112774,0.47856823,-0.6267164,1.2492712
55.0,23.0,55V,6.54,1.0,0.8155777483242672,5256.800000000003,5574.599999999999,0,1.699909,0.7582784,0.21368325,3.1861348
55.0,24.0,55Cr,209.82,1.0,2.3218468826928884,2290.299999999996,2750.800000000003,0,4.0186405,1.1652517,1.7347472,6.302534
56.0,20.0,56Ca,0.011,1.0,-1.958607314841775,12280.6,12146.999999999998,1,-1.4964395,0.4190538,-2.3177848,-0.675094
56.0,22.0,56Ti,0.2,1.0,-0.6989700043360187,6573.0,6590.699999999997,1,-0.054650724,0.43052125,-0.89847237,0.7891709
56.0,23.0,56V,0.216,1.0,-0.6655462488490691,9248.9,9788.199999999995,-1,0.44453424,0.52026415,-0.57518345,1.464252
