Mass Number,Atomic Number,Element,Half-Life (s),Beta Branch Ratio,Beta Partial Half-Life (s)
107,045,107Rh,1302.0,1.0,1302.0
107,046,107Pd,205120019000000.0,1.0,205120019000000.0
108,039,108Y,0.03,1.0,0.03
108,040,108Zr,0.0785,1.0,0.0785
108,041,108Nb,0.201,1.0,0.201
108,042,108Mo,1.105,1.0,1.105
108,043,108Tc,5.17,1.0,5.17
108,044,108Ru,273.0,1.0,273.0
108,045,108Rh,16.8,1.0,16.8
108,047,108Ag,142.92000000000002,0.9715,147.11271230056616
109,039,109Y,0.025,1.0,0.025
109,040,109Zr,0.056,1.0,0.056
109,041,109Nb,0.10690000000000001,1.0,0.10690000000000001
109,042,109Mo,0.7000000000000001,1.0,0.7000000000000001
109,043,109Tc,0.905,1.0,0.905
109,044,109Ru,34.4,1.0,34.4
109,045,109Rh,80.8,1.0,80.8
109,046,109Pd,48924.0,1.0,48924.0
110,040,110Zr,0.0375,1.0,0.0375
110,042,110Mo,0.292,1.0,0.292
110,043,110Tc,0.9,1.0,0.9
110,044,110Ru,12.04,1.0,12.04
111,040,111Zr,0.024,1.0,0.024
111,041,111Nb,0.054,1.0,0.054
111,042,111Mo,0.1936,1.0,0.1936
111,043,111Tc,0.35000000000000003,1.0,0.35000000000000003
111,044,111Ru,2.12,1.0,2.12
111,045,111Rh,11.0,1.0,11.0
111,046,111Pd,1413.6,1.0,1413.6
111,047,111Ag,642211.2,1.0,642211.2
112,040,112Zr,0.043000000000000003,1.0,0.043000000000000003
112,041,112Nb,0.038,1.0,0.038
112,042,112Mo,0.125,1.0,0.125
112,043,112Tc,0.323,1.0,0.323
112,044,112Ru,1.75,1.0,1.75
112,045,112Rh,3.4,1.0,3.4
112,046,112Pd,75744.0,1.0,75744.0
112,047,112Ag,11268.0,1.0,11268.0
112,049,112In,892.8000000000001,0.38,2349.4736842105262
113,041,113Nb,0.032,1.0,0.032
113,042,113Mo,0.08,1.0,0.08
113,043,113Tc,0.152,1.0,0.152
113,044,113Ru,0.8,1.0,0.8
113,045,113Rh,2.8,1.0,2.8
113,046,113Pd,93.0,1.0,93.0
113,047,113Ag,19332.0,1.0,19332.0
113,048,113Cd,253717685039999.97,1.0,253717685039999.97
114,041,114Nb,0.017,1.0,0.017
114,042,114Mo,0.058,1.0,0.058
114,044,114Ru,0.54,1.0,0.54
114,046,114Pd,145.2,1.0,145.2
114,047,114Ag,4.6,1.0,4.6
114,049,114In,71.9,0.995,72.26130653266333
115,041,115Nb,0.023,1.0,0.023
115,042,115Mo,0.0455,1.0,0.0455
115,043,115Tc,0.078,1.0,0.078
115,044,115Ru,0.318,1.0,0.318
115,045,115Rh,1.03,1.0,1.03
115,046,115Pd,25.0,1.0,25.0
115,047,115Ag,1200.0,1.0,1200.0
115,048,115Cd,192456.0,1.0,192456.0
115,049,115In,13916604366000.0,1.0,13916604366000.0
116,042,116Mo,0.032,1.0,0.032
116,043,116Tc,0.057,1.0,0.057
116,044,116Ru,0.20400000000000001,1.0,0.20400000000000001
116,046,116Pd,11.8,1.0,11.8
116,047,116Ag,229.8,1.0,229.8
