Mass Number (A),Atomic Number (Z),Element,Half-Life (s),Beta Branch Ratio,Beta Partial Half-Life (log(s))
87,37,87Rb,1.5683792222e+18,1.0,18.195451080157333
88,32,88Ge,0.061,1.0,-1.214670164989233
88,33,88As,0.27,1.0,-0.5686362358410126
88,34,88Se,1.53,1.0,0.1846914308175988
88,35,88Br,16.34,1.0,1.2132520521963968
88,36,88Kr,10170.0,1.0,4.007320952922744
88,37,88Rb,1066.8000000000002,1.0,3.028083007017839
89,34,89Se,0.43,1.0,-0.36653154442041347
89,35,89Br,4.357,1.0,0.6391875599357539
89,36,89Kr,189.0,1.0,2.2764618041732443
89,37,89Rb,919.2,1.0,2.9634100156802288
89,38,89Sr,4368643.2,1.0,6.6403465760442355
90,34,90Se,0.21,1.0,-0.6777807052660807
90,35,90Br,1.91,1.0,0.28103336724772754
90,36,90Kr,32.32,1.0,1.5094713521025485
90,37,90Rb,158.0,1.0,2.1986570869544226
90,38,90Sr,912310730.66,1.0,8.960142783094659
90,39,90Y,230580.0,1.0,5.362821634847992
91,34,91Se,0.27,1.0,-0.5686362358410126
91,35,91Br,0.543,1.0,-0.265200170411153
91,36,91Kr,8.57,1.0,0.9329808219231982
91,37,91Rb,58.2,1.0,1.7649229846498886
91,38,91Sr,34740.0,1.0,4.540829814111079
91,39,91Y,5055264.0,1.0,6.7037438405896115
92,35,92Br,0.314,1.0,-0.5030703519267851
92,36,92Kr,1.84,1.0,0.2648178230095365
92,37,92Rb,4.48,1.0,0.651278013998144
92,38,92Sr,9399.6,1.0,3.9731093725902316
92,39,92Y,12744.0,1.0,4.105305762793075
93,35,93Br,0.152,1.0,-0.8181564120552275
93,36,93Kr,1.287,1.0,0.10957854690438666
93,37,93Rb,5.84,1.0,0.7664128471123994
93,38,93Sr,445.8,1.0,2.649140064144219
93,39,93Y,36648.0,1.0,4.564050278768027
93,40,93Zr,50806650860000.0,1.0,13.705920567455852
94,35,94Br,0.07,1.0,-1.154901959985743
94,36,94Kr,0.212,1.0,-0.6736641390712486
94,37,94Rb,2.702,1.0,0.4316853446860118
94,38,94Sr,75.3,1.0,1.8767949762007006
94,39,94Y,1122.0,1.0,3.0499928569201424
94,41,94Nb,643761290400.0,1.0,11.808724858849901
95,36,95Kr,0.114,1.0,-0.9430951486635274
95,37,95Rb,0.3777,1.0,-0.422853015172475
95,38,95Sr,23.9,1.0,1.3783979009481377
95,39,95Y,618.0,1.0,2.790988475088816
95,40,95Zr,5532364.8,1.0,6.742910809435011
95,41,95Nb,3023222.4,1.0,6.480470096744481
96,36,96Kr,0.08,1.0,-1.0969100130080565
96,38,96Sr,1.059,1.0,0.024895960107484977
96,39,96Y,5.34,1.0,0.7275412570285564
96,40,96Zr,7.384320684e+17,1.0,17.868310548834145
96,41,96Nb,84060.0,1.0,4.924589385669418
97,36,97Kr,0.0622,1.0,-1.2062096153091812
97,37,97Rb,0.1691,1.0,-0.7718563924022582
97,38,97Sr,0.432,1.0,-0.3645162531850879
97,39,97Y,3.75,1.0,0.5740312677277188
97,40,97Zr,60296.4,1.0,4.780291383337379
97,41,97Nb,4326.0,1.0,3.636086515103073
98,36,98Kr,0.0428,1.0,-1.368556230986828
98,37,98Rb,0.115,1.0,-0.9393021596463883
98,38,98Sr,0.653,1.0,-0.18508681872492605
98,39,98Y,0.548,1.0,-0.2612194415156308
98,40,98Zr,30.7,1.0,1.4871383754771865
98,41,98Nb,2.86,1.0,0.456366033129043
98,43,98Tc,132539089200000.0,1.0,14.122343981821903
99,36,99Kr,0.04,1.0,-1.3979400086720375
99,37,99Rb,0.054,1.0,-1.2676062401770316
99,38,99Sr,0.2692,1.0,-0.5699249444480607
99,39,99Y,1.484,1.0,0.17143390094300825
99,40,99Zr,2.1,1.0,0.3222192947339193
99,41,99Nb,15.0,1.0,1.1760912590556813
99,42,99Mo,237355.2,1.0,5.375398750722876
99,43,99Tc,6661667078600.0,1.0,12.823582924731658
100,36,100Kr,0.012,1.0,-1.9208187539523751
100,37,100Rb,0.0513,1.0,-1.2898826348881838
100,38,100Sr,0.2021,1.0,-0.6944336864846961
100,39,100Y,0.94,1.0,-0.026872146400301365
100,40,100Zr,7.1,1.0,0.8512583487190752
100,41,100Nb,1.5,1.0,0.17609125905568124
100,42,100Mo,2.2310746682e+17,1.0,17.3485141052209
101,37,101Rb,0.0318,1.0,-1.4975728800155672
101,38,101Sr,0.1137,1.0,-0.9442395353122652
101,39,101Y,0.426,1.0,-0.3705904008972811
101,40,101Zr,2.29,1.0,0.359835482339888
101,41,101Nb,7.1,1.0,0.8512583487190752
101,42,101Mo,876.5999999999999,1.0,2.9428014663179405
101,43,101Tc,853.2,1.0,2.9310508467773912
102,37,102Rb,0.037,1.0,-1.431798275933005
102,38,102Sr,0.069,1.0,-1.1611509092627446
102,40,102Zr,2.01,1.0,0.30319605742048883
102,41,102Nb,4.3,1.0,0.6334684555795865
102,42,102Mo,678.0,1.0,2.8312296938670634
102,45,102Rh,17884800.0,0.22,7.910061407113605
103,37,103Rb,0.026,1.0,-1.585026652029182
103,38,103Sr,0.053,1.0,-1.275724130399211
103,39,103Y,0.239,1.0,-0.6216020990518624
103,40,103Zr,1.38,1.0,0.13987908640123647
103,41,103Nb,1.34,1.0,0.12710479836480765
103,42,103Mo,67.5,1.0,1.8293037728310249
103,43,103Tc,54.2,1.0,1.7339992865383869
103,44,103Ru,3390768.0,1.0,6.530298075898213
104,38,104Sr,0.0506,1.0,-1.295849483160201
104,39,104Y,0.197,1.0,-0.7055337738384071
104,40,104Zr,0.92,1.0,-0.036212172654444715
104,42,104Mo,60.0,1.0,1.7781512503836436
104,43,104Tc,1098.0,1.0,3.040602340114073
104,45,104Rh,42.3,0.9955,1.628299103011614
105,38,105Sr,0.039,1.0,-1.408935392973501
105,39,105Y,0.095,1.0,-1.0222763947111522
105,40,105Zr,0.67,1.0,-0.17392519729917355
105,41,105Nb,2.91,1.0,0.4638929889859073
105,42,105Mo,36.3,1.0,1.5599066250361124
105,43,105Tc,458.4,1.0,2.6612446089593336
105,44,105Ru,15980.4,1.0,4.203587645792654
105,45,105Rh,127227.6,1.0,5.104581334798743
106,38,106Sr,0.021,1.0,-1.6777807052660807
106,39,106Y,0.075,1.0,-1.1249387366083
106,40,106Zr,0.179,1.0,-0.7471469690201069
106,41,106Nb,0.9,1.0,-0.045757490560675115
106,42,106Mo,8.73,1.0,0.9410142437055697
106,43,106Tc,35.6,1.0,1.5514499979728753
106,44,106Ru,32123520.0,1.0,7.506823127914773
106,45,106Rh,30.07,1.0,1.4781334281005176
107,39,107Y,0.0335,1.0,-1.4749551929631548
107,40,107Zr,0.1457,1.0,-0.8365404482300098
107,41,107Nb,0.286,1.0,-0.543633966870957
107,42,107Mo,3.5,1.0,0.5440680443502757
107,43,107Tc,21.2,1.0,1.3263358609287514
107,44,107Ru,225.0,1.0,2.3521825181113627
107,45,107Rh,1302.0,1.0,3.114610984232173
107,46,107Pd,205120019000000.0,1.0,14.312008048066858
108,39,108Y,0.03,1.0,-1.5228787452803376
108,40,108Zr,0.0785,1.0,-1.1051303432547475
108,41,108Nb,0.201,1.0,-0.6968039425795112
108,42,108Mo,1.105,1.0,0.0433622780211295
108,43,108Tc,5.17,1.0,0.7134905430939426
108,44,108Ru,273.0,1.0,2.436162647040756
108,45,108Rh,16.8,1.0,1.2253092817258628
108,47,108Ag,142.92000000000002,0.9715,2.167650202594601
109,39,109Y,0.025,1.0,-1.6020599913279623
109,40,109Zr,0.056,1.0,-1.2518119729937995
109,41,109Nb,0.1069,1.0,-0.971022294791222
109,42,109Mo,0.7000000000000001,1.0,-0.15490195998574313
109,43,109Tc,0.905,1.0,-0.043351420794796675
109,44,109Ru,34.4,1.0,1.5365584425715302
109,45,109Rh,80.8,1.0,1.9074113607745862
